"省份","城市","项目名称","线索阶段","需求类别","发包采购单位","预算或金额","线索时间","来源链接","备注"
"四川","绵阳北川","北川低空空域服务能力建设项目（无人机探测与反制系统等设备采购）","评标结果公示/待定标","园区运营需求","公开信息未披露","公开信息未披露","2026-02-03","https://www.bbda.com/bidList/k1295","含无人机探测与反制系统、低空空域服务能力建设，因未确认中标成交结果未并入主表"
"福建","福州","中国移动福建福州分公司2025年低空飞行安全示范基地配套采购项目","招标公告/待中标","园区运营需求","中国移动福建福州分公司","公开信息未披露","2025-12-05","https://www.bbda.com/bidList/k1295","低空飞行安全示范基地配套，未确认中标结果"
"广东","江门台山","台山核电实物保护系统运行管理、低空防御系统和基地安防系统运维业务外包项目","直接采购信息公告/待成交","敏感目标防护需求","台山核电合营有限公司","公开信息未披露","2025-11-27","https://www.bbda.com/bidList/k1295","采购公告类，未确认成交供应商，未并入主表"
"浙江","金华","金华市公安局巡特警支队2026年反制枪租赁服务采购项目","采购公告/待成交","日常巡防需求","金华市公安局巡特警支队","公开信息未披露","2026-02-05","https://www.bbda.com/bidList/k1295","租赁服务采购公告，未确认中标结果"
"浙江","杭州萧山","萧山区行政中心低空防御建设项目（重新招标）","招标公告/待中标","敏感目标防护需求","杭州市萧山区机关事务服务中心","116万元","2025-08-21","https://www.laernoc.com/productinfo/1844273797960699905","公开汇总列表显示重新招标项目，当前仅确认预算、招标时间和采购主体，未确认中标结果，暂不并入主库"
"福建","福州","中国移动通信集团福建有限公司福州分公司2025年数据中心及长乐机场低空融合感知项目采购项目","采购公告/待中标","敏感目标防护需求","中国移动通信集团福建有限公司福州分公司","公开信息未披露","2025-12-18","https://www.bbda.com/orgBidList/k32552_p1","招标公告线索已出现，项目名称明确但暂未确认中标结果，先不并入主表"
"浙江","杭州萧山","机场公安局无人机侦查、空飘物处置快速起降平台采购项目","已中标但偏边界样本","敏感目标防护需求","浙江省公安厅机场公安局","16.57万元","2024-12-21","https://www.ccgp.gov.cn/cggg/dfgg/zbgg/202412/t20241221_23929546.htm","结果公告已确认，但项目更偏低空起降/处置平台配套，暂作为边界样本单列，是否并入主库可再定口径"
"陕西","汉中","汉中市低空经济数字化基础设施及配套场景建设项目","中标/边界样本待拆分","城市级低空治理/安全基础设施","公开信息未披露","约29500万元","2025-12-18","https://www.geovis.com.cn/news/661","中科星图公开信息称成功中标，项目建设内容包含低空通信、导航、监视、反制设施等；因整体金额过大且侦测反制占比未拆分，暂不并入主库金额统计"
"江西","南昌红谷滩","南昌市公安局红谷滩分局巡逻处突大队采购低空安全及反制设备项目（第二次）","采购公告/开标记录待核验","日常巡防需求","南昌市公安局红谷滩分局","103万元","2025-12-16","https://www.laernoc.com/productinfo/1844273797960699905","已检索到开标/项目线索，尚未确认成交公告和中标单位"
"四川","泸州","泸州市公安局低空警务建设项目","采购公告/待中标","日常巡防需求","泸州市公安局","177.392万元","2024-11-29","https://www.laernoc.com/productinfo/1844273797960699905","公开低空项目汇总显示采购公告，尚未定位到结果公告"
"四川","凉山","凉山彝族自治州公安局低空警务中心建设项目","结果线索/待核验","日常巡防需求","凉山彝族自治州公安局","71.2068万元","2026-05-14","https://www.laernoc.com/productinfo/1844273797960699905","检索到结果类线索但中标单位和设备内容尚未核验，先列入线索表"
"四川","雅安名山","雅安市公安局名山区分局“麒麟天巡”低空警务应用服务采购项目","采购公告/待中标","日常巡防需求","雅安市公安局名山区分局","110万元","2026-01-05","https://www.laernoc.com/productinfo/1844273797960699905","低空警务应用服务项目，尚未确认结果公告"
"山西","临汾","临汾经济开发区低空安全全域巡检应用服务项目","结果线索/待核验","日常巡防需求","临汾经济开发区管理委员会经济科技发展部","公开信息未披露","2026-05-08","https://www.bbda.com/bidList/k1295","检索到结果公告线索，但中标单位和成交金额未核验，先不并入主库"
"江苏","南京浦口","南京市公安局浦口分局低空警务装备项目","结果线索/待核验","日常巡防需求","南京市公安局浦口分局","74.36万元","2025-07-31","https://www.laernoc.com/productinfo/1844273797960699905","公开低空项目汇总显示结果公告和金额，尚未确认中标单位"
"福建","福州新区","福州新区低空空域管理系统项目","企业公开信息/待核验","城市级低空治理/平台","公开信息未披露","公开信息未披露","2026-05-22","https://www.geovis.com.cn/","中科星图相关公开信息出现项目名，暂未定位到招投标结果公告"
"青海","西宁","西宁市低空智航飞行应用平台项目","企业公开信息/待核验","城市级低空治理/平台","公开信息未披露","公开信息未披露","2026-05-22","https://www.geovis.com.cn/","中科星图相关公开信息出现项目名，暂未定位到招投标结果公告"
