"活动保障识别层级","识别依据","原主需求类别","原兼具需求类别","软硬件属性","省份","省内城市区域","项目名称","发包采购单位","项目金额","金额万元","承建中标单位","中标公告时间","年份","来源等级","字段完整度","来源链接","证据摘要"
"高概率活动保障打包项目","以服务/租赁/阵地/保障形式采购，采购主体为公安、特警、机场或重点单位，常用于临时管控时间窗","日常巡防需求","无明显兼具类别","服务/租赁/咨询","广西","钦州","钦州市某单位采购 无人机反制设备 ( 中标公告","公开信息未披露","公开信息未披露","","广西正阳科技发展有限公司","2025年12月1日","2025","B-公开转载/行业平台","较完整","https://gx.bidizhaobiao.com/info-736635266.html","钦州市某单位采购 无人机反制设备 ( 中标公告 )-广西招标网 2025年12月1日 - 一、项目名称:钦州市某单位采购 无人机 反制设备.广西正阳科技发展有限公司商务条款响应售后服务中 中标 供应商提供24小时售后服务,自接到故障通知后一小... gx.bidizhaobiao.com 反馈"
"高概率活动保障打包项目","以服务/租赁/阵地/保障形式采购，采购主体为公安、特警、机场或重点单位，常用于临时管控时间窗","日常巡防需求","无明显兼具类别","服务/租赁/咨询","贵州","贵阳","贵阳市公安局无人机反制设备采购项目","贵阳市公安局","公开信息未披露","","公开信息未披露","2026年5月7日","2026","B-公开转载/行业平台","较完整","https://www.okcis.cn/20260507-n3-20260507234734360225.html","公开转载结果页摘要显示项目为无人机反制设备采购，中标结果发布时间2026年5月7日，采购主体可识别为贵阳市公安局；金额和中标单位未披露。"
"高概率活动保障打包项目","以服务/租赁/阵地/保障形式采购，采购主体为公安、特警、机场或重点单位，常用于临时管控时间窗","日常巡防需求","无明显兼具类别","服务/租赁/咨询","江西","崇仁","崇仁县公安局无人机反制设备采购项目","崇仁县公安局","公开信息未披露","","公开信息未披露","2026年4月1日","2026","B-公开转载/行业平台","较完整","https://www.ixbang.com/bid/detail/3C831D33919D937FC2E8DA122B0151D4.html","销邦招标平台转载结果显示：关于无人机反制设备采购项目中选结果的公告，在线选取采购单位为崇仁县公安局，发布时间2026年4月1日。"
"高概率活动保障打包项目","以服务/租赁/阵地/保障形式采购，采购主体为公安、特警、机场或重点单位，常用于临时管控时间窗","日常巡防需求","无明显兼具类别","服务/租赁/咨询","陕西","石泉","石泉县公安局无人机反制设备采购项目中标（成交）结果公告","石泉县公安局","16.8800 万元","16.88","公开信息未披露","2025年09月30日","2025","A-官方公告/公共资源","较完整","http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202509/t20250930_25447729.htm","石泉县公安局 无人机反制设备 采购项目 中标 (成交)结果 公告 2025年9月30日 - 合同包号 合同包名称 代理服务费金额(万元) 收取对象 1 石泉县公安局 无人机反制设备 采购项目 0.3 中标 (成交)供应商 七、 公告 期限.石泉县公安局无... www.ccgp.gov.cn 反馈"
"高概率活动保障打包项目","以服务/租赁/阵地/保障形式采购，采购主体为公安、特警、机场或重点单位，常用于临时管控时间窗","敏感目标防护需求","无明显兼具类别","服务/租赁/咨询","陕西","西安咸阳","西安咸阳国际机场股份有限公司无人机反制车租赁项目","西安咸阳国际机场股份有限公司","公开信息未披露","","公开信息未披露","2026年1月5日","2026","B-公开转载/行业平台","较完整","https://www.bidcenter.com.cn/news-398824934-4.html","采招网转载结果公示显示：西安咸阳国际机场股份有限公司无人机反制车租赁项目，发布时间2026年1月5日；公开摘要未披露中标单位和金额。"
"高概率活动保障打包项目","以服务/租赁/阵地/保障形式采购，采购主体为公安、特警、机场或重点单位，常用于临时管控时间窗","敏感目标防护需求","无明显兼具类别","服务/租赁/咨询","新疆","乌鲁木齐","无人机反制系统采购项目","某单位","28.8000 万元","28.8","新疆乾元商贸有限公司","2025-03-28","2025","A-官方公告/公共资源","完整","https://www.ccgp.gov.cn/cggg/dfgg/zbgg/202503/t20250328_24369730.htm","中国政府采购网中标公告披露：行政区域新疆维吾尔自治区，总中标金额28.8万元，服务名称为无人机探测防御察打一体化平台。"
"高概率活动保障打包项目","以服务/租赁/阵地/保障形式采购，采购主体为公安、特警、机场或重点单位，常用于临时管控时间窗","敏感目标防护需求","日常巡防需求","服务/租赁/咨询","浙江","丽水","丽水市公安局丽水机场低空防御服务项目合同","丽水市公安局","公开信息未披露","","中国移动通信集团浙江有限公司丽水分公司","2025-12-11","2025","B-公开转载/行业平台","较完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：丽水机场低空防御服务项目合同，供应商中国移动浙江丽水分公司。"
"显性重大活动保障项目","项目文本直接出现重大活动/赛事/场馆/安保专项等关键词","重大活动保障需求","日常巡防需求","服务/租赁/咨询","安徽","宣城","宣城市公安局低空安全管控装备租赁服务采购项目","宣城市公安局","167.5000 万元","167.5","安徽省通航无人机服务有限公司","2026-05-06","2026","A-官方公告/公共资源","完整","https://ggzyjy.xuancheng.gov.cn/xcspfront/zfcg/017001/017001004/20260506/31e1b449-bf7d-4768-b057-13340e9fabcc.html","宣城市公共资源交易中心成交结果公告披露：低空安全管控装备租赁服务，成交金额1675000元；需求文本含日常工作及重大活动补充保障服务。"
"显性重大活动保障项目","项目文本直接出现重大活动/赛事/场馆/安保专项等关键词","重大活动保障需求","敏感目标防护需求；日常巡防需求","服务/租赁/咨询","广东","珠海横琴","横琴粤澳深度合作区公安局重大活动安保无人机防控服务政府采购项目","横琴粤澳深度合作区公安局","157.2875 万元","157.2875","中国移动通信集团广东有限公司珠海分公司","2024-12-18","2024","A-官方公告/公共资源","完整","https://hengqin.gd.gov.cn/gkmlpt/content/4/4617/post_4617550.html","广东政府公开页面披露：重大活动安保无人机防控服务，中标供应商中国移动广东珠海分公司，中标金额1,572,875.00元。"
"显性重大活动保障项目","项目文本直接出现重大活动/赛事/场馆/安保专项等关键词","重大活动保障需求","日常巡防需求","硬件设备/装备","广东","深圳","龙华分局购置十五运无人机反制设备采购项目","深圳市公安局龙华分局","95.5000 万元","95.5","江门市亿豪警用装备科技有限公司","2025-08-21","2025","B-公开转载/行业平台","完整","https://www.szyd11.com/tender/win/detail?TenderId=16753","公开招标代理结果页披露：龙华分局购置十五运无人机反制设备采购项目，中标单位江门市亿豪警用装备科技有限公司。"
